Pokemon,Max CP,Max HP,Attack,Defense,Stamina,Total Stats,Is Legendary,Type 1,Type 2
Slaking,"4,431",233,290,166,284,740,False,normal,none
Regigigas,"4,346",184,287,210,221,718,True,normal,none
Mewtwo,"4,178",179,300,182,214,696,True,psychic,none
Groudon,"4,115",171,270,228,205,703,True,ground,none
Kyogre,"4,115",171,270,228,205,703,True,water,none
Zekrom,"4,038",171,275,211,205,691,True,dragon,electric
Reshiram,"4,038",171,275,211,205,691,True,dragon,fire
Dialga,"4,038",171,275,211,205,691,True,steel,dragon
Palkia,"3,991",159,280,215,189,684,True,water,dragon
Arceus,"3,989",197,238,238,237,713,True,normal,none
Meloetta,"3,972",187,250,225,225,700,True,normal,psychic
Garchomp,"3,962",198,261,193,239,693,False,dragon,ground
Ho-Oh,"3,863",179,239,244,214,697,True,fire,flying
Rayquaza,"3,835",178,284,170,213,667,True,dragon,flying
Tyranitar,"3,834",187,251,207,225,683,False,rock,dark
Latios,"3,812",160,268,212,190,670,True,dragon,psychic
Dragonite,"3,792",175,263,198,209,670,False,dragon,flying
Metagross,"3,791",160,257,228,190,675,False,steel,psychic
Yveltal,"3,781",204,250,185,246,681,True,dark,flying
Xerneas,"3,781",204,250,185,246,681,True,fairy,none
Heatran,"3,754",175,251,213,209,673,True,fire,steel
Salamence,"3,749",180,277,168,216,661,False,dragon,flying
Darkrai,"3,739",146,285,198,172,655,True,dark,none
Rhyperior,"3,733",207,241,190,251,682,False,ground,rock
Lugia,"3,703",195,193,310,235,738,True,psychic,flying
Keldeo,"3,698",175,260,192,209,661,True,water,fighting
Terrakion,"3,698",175,260,192,209,661,True,rock,fighting
Volcarona,"3,632",166,264,189,198,651,False,bug,fire
Volcanion,"3,628",160,252,216,190,658,True,fire,water
Hydreigon,"3,625",176,256,188,211,655,False,dark,dragon
Haxorus,"3,593",154,284,172,183,639,False,dragon,none
Landorus,"3,588",171,261,182,205,648,True,ground,flying
Kyurem,"3,575",203,246,170,245,661,True,dragon,ice
Zapdos,"3,527",173,253,185,207,645,True,electric,flying
Latias,"3,510",160,228,246,190,664,True,dragon,psychic
Goodra,"3,505",173,220,242,207,669,False,dragon,none
Entei,"3,473",207,235,171,251,657,True,fire,none
Moltres,"3,465",173,251,181,207,639,True,fire,flying
Raikou,"3,452",173,241,195,207,643,True,electric,none
Gyarados,"3,391",180,237,186,216,639,False,water,flying
Giratina,"3,379",233,187,225,284,696,True,ghost,dragon
Hoopa,"3,359",146,261,187,173,621,True,psychic,ghost
Genesect,"3,353",147,252,199,174,625,True,bug,steel
Thundurus,"3,345",158,266,164,188,618,True,electric,flying
Tornadus,"3,345",158,266,164,188,618,True,flying,none
Conkeldurr,"3,337",193,243,158,233,634,False,fighting,none
Togekiss,"3,332",166,225,217,198,640,False,fairy,flying
Archeops,"3,331",153,292,139,181,612,False,rock,flying
Mamoswine,"3,328",200,247,146,242,635,False,ice,ground
Rampardos,"3,298",182,295,109,219,623,False,rock,none
Chandelure,"3,268",132,271,182,155,608,False,ghost,fire
Porygon-Z,"3,266",166,264,150,198,612,False,normal,none
Victini,"3,265",187,210,210,225,645,False,psychic,fire
Shaymin,"3,265",187,210,210,225,645,False,grass,grass
Manaphy,"3,265",187,210,210,225,645,False,water,none
Jirachi,"3,265",187,210,210,225,645,True,steel,psychic
Celebi,"3,265",187,210,210,225,645,True,psychic,grass
Mew,"3,265",187,210,210,225,645,True,psychic,none
Excadrill,"3,244",200,255,129,242,626,False,ground,steel
Florges,"3,234",157,212,244,186,642,False,fairy,none
Gigalith,"3,228",166,226,201,198,625,False,rock,none
Snorlax,"3,225",269,190,169,330,689,False,normal,none
Azelf,"3,210",153,270,151,181,602,True,psychic,none
Magnezone,"3,205",146,238,205,172,615,False,electric,steel
Avalugg,"3,198",180,196,240,216,652,False,ice,none
Rhydon,"3,179",193,222,171,233,626,False,ground,rock
Espeon,"3,170",139,261,175,163,599,False,psychic,none
Deoxys,"3,160",118,345,115,137,597,True,psychic,none
Magmortar,"3,132",153,247,172,181,600,False,fire,none
Tyrantrum,"3,128",162,227,191,193,611,False,rock,dragon
Glaceon,"3,126",139,238,205,163,606,False,ice,none
Regice,"3,122",160,179,309,190,678,True,ice,none
Regirock,"3,122",160,179,309,190,678,True,rock,none
Vaporeon,"3,114",228,205,161,277,643,False,water,none
Darmanitan,"3,105",193,263,114,233,610,False,fire,fire
Heracross,"3,101",160,234,179,190,603,False,bug,fighting
Gallade,"3,093",143,237,195,169,601,False,psychic,fighting
Gardevoir,"3,093",143,237,195,169,601,False,psychic,fairy
Braviary,"3,088",187,232,152,225,609,False,normal,flying
Hippowdon,"3,085",198,201,191,239,631,False,ground,none
Electivire,"3,079",153,249,163,181,593,False,electric,none
Sylveon,"3,069",180,203,205,216,624,False,fairy,none
Delphox,"3,059",153,230,189,181,600,False,fire,psychic
Mesprit,"3,058",160,212,212,190,614,True,psychic,none
Alakazam,"3,057",125,271,167,146,584,False,psychic,none
Machamp,"3,056",173,234,159,207,600,False,fighting,none
Articuno,"3,051",173,192,236,207,635,True,ice,flying
Krookodile,"3,046",180,229,158,216,603,False,ground,dark
Beartic,"3,042",180,233,152,216,601,False,ice,none
Tangrowth,"3,030",187,207,184,225,616,False,grass,none
Flareon,"3,029",139,246,179,163,588,False,fire,none
Arcanine,"3,029",173,227,166,207,600,False,fire,none
Virizion,"3,022",175,192,229,209,630,False,grass,fighting
Cobalion,"3,022",175,192,229,209,630,True,steel,fighting
Exeggutor,"3,014",180,233,149,216,598,False,grass,psychic
Donphan,"3,013",173,214,185,207,606,False,ground,none
Weavile,"3,005",146,243,171,172,586,False,dark,ice
Milotic,"3,005",180,192,219,216,627,False,water,none
Scizor,"3,001",146,236,181,172,589,False,bug,steel
Aggron,"3,000",146,198,257,172,627,False,steel,rock
Suicune,"2,983",187,180,235,225,640,True,water,none
Emboar,"2,982",200,235,127,242,604,True,fire,fighting
Swampert,"2,974",187,208,175,225,608,False,water,ground
Roserade,"2,971",132,243,185,155,583,False,grass,poison
Pinsir,"2,959",139,238,182,163,583,False,bug,none
Chesnaught,"2,954",171,201,204,204,609,False,grass,fighting
Golem,"2,949",160,211,198,190,599,False,rock,ground
Yanmega,"2,946",168,231,156,200,587,False,bug,flying
Ursaring,"2,945",173,236,144,207,587,False,normal,none
Leafeon,"2,944",139,216,219,163,598,False,grass,none
Torterra,"2,934",180,202,188,216,606,False,grass,ground
Reuniclus,"2,927",200,214,148,242,604,False,psychic,none
Pangoro,"2,902",180,226,146,216,588,False,fighting,dark
Empoleon,"2,900",165,210,186,197,593,False,water,steel
Escavalier,"2,889",146,223,187,172,582,False,bug,steel
Typhlosion,"2,889",157,223,173,186,582,False,fire,none
Charizard,"2,889",157,223,173,186,582,False,fire,flying
Luxray,"2,888",160,232,156,190,578,False,electric,none
Jolteon,"2,888",139,232,182,163,577,False,electric,none
Gengar,"2,878",132,261,149,155,565,False,ghost,poison
Cresselia,"2,857",214,152,258,260,670,True,psychic,none
Feraligatr,"2,857",166,205,188,198,591,False,water,none
Golurk,"2,854",171,222,154,205,581,False,ground,ghost
Ampharos,"2,852",173,211,169,207,587,False,electric,none
Armaldo,"2,848",153,222,174,181,577,False,rock,bug
Blaziken,"2,848",160,240,141,190,571,False,fire,fighting
Bisharp,"2,844",139,232,176,163,571,False,dark,steel
Hariyama,"2,829",247,209,114,302,625,False,fighting,none
Kingler,"2,829",125,240,181,146,567,False,water,none
Mr. Mime,"2,827",160,212,179,190,581,False,psychic,fairy
